"","dhat1","dhat2","dhat3","dhat4","time1","time2","time3","time4","k1","k2","k3","k4","newy","gamma"
"1",0.771959459459459,0.816799754299754,0.810964373464373,0.758906633906634,10.7391908783784,0.942157248157248,0.00733415233415256,0.00732017813267795,1492.85795454545,130,13,1,0.236640049140049,0
"2",0.771959459459459,0.818028255528256,0.815724815724816,0.786547911547912,6.54873571867322,0.578808660933661,0.00902856265356277,0.00898878992629004,746.953316953317,65,7,1,0.236640049140049,0.1
"3",0.771191646191646,0.81710687960688,0.81541769041769,0.797143734643735,3.17379238329238,0.284761056511057,0.0100185810810811,0.00997097665847665,331.196867321867,29,3,1,0.236640049140049,0.2
"4",0.771345208845209,0.816031941031941,0.81710687960688,0.813574938574939,1.5030648034398,0.141438267813268,0.0118688574938575,0.0118604115479116,129.749846437346,12,2,1,0.236640049140049,0.3
"5",0.770577395577396,0.813421375921376,0.811425061425061,0.811425061425061,0.849753992628993,0.0876762899262899,0.017509828009828,0.0175161240786241,48.9992321867322,5,1,1,0.236640049140049,0.4
"6",0.770116707616708,0.814035626535627,0.811425061425061,0.811425061425061,0.649808660933661,0.0673429054054054,0.0335420761670762,0.0336904176904177,19.3488943488943,2,1,1,0.236640049140049,0.5
"7",0.768581081081081,0.812192874692875,0.812192874692875,0.812192874692875,0.570373925061425,0.0763969594594595,0.076333230958231,0.0760569717444718,7.47757985257985,1,1,1,0.236640049140049,0.6
"8",0.765970515970516,0.800061425061425,0.800061425061425,0.800061425061425,0.608059735872236,0.185035933660934,0.185717137592138,0.18468105036855,3.30236486486486,1,1,1,0.236640049140049,0.7
"9",0.763359950859951,0.768120393120393,0.768120393120393,0.768120393120393,0.651806664619165,0.446281326781327,0.443844901719902,0.445316646191646,1.46990171990172,1,1,1,0.236640049140049,0.8
"10",0.763359950859951,0.763359950859951,0.763359950859951,0.763359950859951,0.947652641277641,0.949185810810811,0.953337837837838,0.951755221130221,1,1,1,1,0.236640049140049,0.9
